Timestamp,1) How old are you?,2) What gender are you?,3) What technology do you own that involves screens/monitors?,"4) Would you say, you are comfortable with using technology?","5) With all the technology you own, collectively, how much time do you spend on it each day on average?",6) What is your main purpose of using screen technology?,7) Would you say that screen technology made our lives way easier?,"8) Did screen technology affect your sleep quality and patterns? If so, was it in a positive or negative way?","9) Have you noticed any impact on your physical health from the use of screen technology? (e.g. eye strain, headaches etc..)","10) Has screen technology usage has an impact on your social relationships, or sense of community?","11) Did screen technology use affected your productivity or ability to focus? If so, was it in a positive or negative way?","12) How does screen technology usage impacts your mental health and well-being?  If so, is it in a positive or negative way?","13) Do you feel like you have control over your screen technology usage? Or perhaps, it controls you instead?",14) Do you believe there are any long-term effects of screen technology use that have not yet been discovered?,15) In what ways do you think screen technology has positively or negatively impacted society as a whole? (Leave blank if no answer),16) What changes would you like to see in the way screen technology is designed or used in the future? (Leave blank if no answer)
2023/02/02 7:33:13 PM GMT+1,25-34,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop;Tablet;TV screen",Very comfortable,9-10 hours,"Play video games;Do school/course work;Watching movies or videos (Netflix, YouTube, Twitch)",Yes,Somewhat negatively,Maybe,Maybe,Somewhat positively,Somewhat negatively,I control it,Maybe,"It helps humanity to visually learn skills, methods which makes easier the learning process","Would be nice to have more ""eye-friendly"" screens in the future"
2023/02/02 7:44:06 PM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..)",Not comfortable at all,3-5 hours,"Watching movies or videos (Netflix, YouTube, Twitch);Listening to music",Yes,Somewhat negatively,Maybe,Maybe,Did not affected at all,Did not affected at all,I control it,Yes,,
2023/02/02 7:55:09 PM GMT+1,25-34,Male,Laptop,Somewhat comfortable,9-10 hours,"Play video games;Job requirement;Watching movies or videos (Netflix, YouTube, Twitch)",Yes,Somewhat negatively,No,No,Somewhat negatively,Somewhat negatively,I control it,Maybe, , 
2023/02/02 8:06:22 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet;TV screen",Extremely comfortable,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Watching movies or videos (Netflix, YouTube, Twitch);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,No,Very negatively,Did not affected at all,It controls me,Maybe,,
2023/02/02 8:08:51 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Extremely comfortable,3-5 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Job requirement;Watching movies or videos (Netflix, YouTube, Twitch);Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Yes,Yes,,,I control it,Yes,,
2023/02/02 8:11:24 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop",Very comfortable,10 hours or more,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Watching movies or videos (Netflix, YouTube, Twitch);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Maybe,Maybe,Somewhat negatively,Did not affected at all,I control it,Maybe,,
2023/02/02 8:29:35 PM GMT+1,18-24,Nonbinary ,"Smartphone (Apple IPhone, Samsung Android etc..);Laptop;Tablet",Very comfortable,9-10 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Listening to music (Spotify, Soundcloud etc..)",Yes,Very negatively,Maybe,Yes,Very positively,Very positively,I control it,Maybe,"Positively its allowed for long distance relationships to be maintained with such things as face time or discord. Its allowed for someone to form new relationships with people who may be part of a community that is uncommon in day to day life, whether through similar interests, cultures or sexualites

It's allowed for those who struggle in an office setting, due to physical disabilities, chronic illness or mental illnes to retain jobs by working from home.  Or more recently due to the pandemic 

Its aided in providing online education both recently from the pandemic but also for people who cant afford to attend uni full time",That it's more widely accessible for disabled users and for those of low income
2023/02/02 8:44:50 PM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;TV screen",Extremely comfortable,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..);making music",Yes,Somewhat negatively,Yes,Yes,Somewhat negatively,Did not affected at all,I control it,Maybe,it has made communication much easier but also made it too easy to speak without consequence ,more moderation on what is said and a step away from screen usage as a whole
2023/02/02 8:51:00 PM GMT+1,18-24,Female,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer;Laptop",Very comfortable,6-8 hours,"Social media (Communicating with others, browsing entertainment and memes etc..);Play video games;Do school/course work;Watching movies or videos (Netflix, YouTube, Twitch etc..);Listening to music (Spotify, Soundcloud etc..)",Yes,Somewhat negatively,Yes,Yes,Somewhat negatively,Somewhat positively,It controls me,Maybe,"It has made work easier to access for society and entertainment wise it’s a lot cheaper to access videos, tv, and films from home and it’s easier to communicate with people who are far away. 
But social media can impact people negatively with self-image issues. Also sharing clips and photos of yourself to your friends it’s easy but everyone in the world can see it and comment whatever they want which is bad for peoples mental health.","People need to be more educated on how it works, it’s too easy to skip past all the terms and conditions and just click agree, I don’t know how to do many things on my phone and computer even though I’ve spent so much on both. "
2023/02/03 2:13:08 PM GMT+1,18-24,Male,"Smartphone (Apple IPhone, Samsung Android etc..);Desktop Computer",Extremely comfortable,10 hours or more,Play video games,Yes,Somewhat negatively,No,No,Did not affected at all,Somewhat negatively,I control it,Yes,,
