age,gender,comfortable-tech,screen-time,easier-life,sleep-quality,physical,social,productivity,mental,control,undiscovered-longimpact?
25-34,Female,3,4,Yes,2,0.5,0.5,4.0,2.0,1,0.5
18-24,Male,1,2,Yes,2,0.5,0.5,3.0,3.0,1,1.0
25-34,Male,2,4,Yes,2,0.0,0.0,2.0,2.0,1,0.5
18-24,Female,4,3,Yes,2,1.0,0.0,1.0,3.0,0,0.5
18-24,Female,4,2,Yes,1,1.0,1.0,,,1,1.0
18-24,Female,3,5,Yes,2,0.5,0.5,2.0,3.0,1,0.5
18-24,Nonbinary ,3,4,Yes,1,0.5,1.0,5.0,5.0,1,0.5
18-24,Male,4,3,Yes,2,1.0,1.0,2.0,3.0,1,0.5
18-24,Female,3,3,Yes,2,1.0,1.0,2.0,4.0,0,0.5
18-24,Male,4,5,Yes,2,0.0,0.0,3.0,2.0,1,1.0
18-24,Male,4,3,Yes,2,0.5,1.0,4.0,2.0,1,0.5
18-24,Female,3,3,Yes,2,0.0,1.0,3.0,0.0,1,1.0
18-24,Female,3,2,No,1,1.0,1.0,2.0,2.0,0,1.0
18-24,Female,4,3,Yes,2,1.0,0.0,3.0,1.0,0,0.5
18-24,Male,3,5,Yes,1,1.0,1.0,2.0,3.0,0,1.0
18-24,Female,4,4,Yes,1,0.5,0.5,2.0,4.0,0,0.5
18-24,Draven Main,4,5,Yes,2,0.5,0.0,1.0,3.0,1,1.0
18-24,Male,4,3,Maybe,2,1.0,0.0,2.0,3.0,1,0.5
18-24,Female,3,4,Yes,2,1.0,0.5,2.0,1.0,0,1.0
18-24,Male,4,4,Yes,2,0.0,0.0,4.0,5.0,1,0.5
18-24,Prefer not to say,2,3,Maybe,2,1.0,0.0,2.0,2.0,0,1.0
18-24,Male,4,5,Yes,1,1.0,1.0,4.0,4.0,0,1.0
18-24,Male,4,5,Yes,2,1.0,0.5,2.0,2.0,0,1.0
18-24,Male,4,5,Yes,2,0.0,1.0,4.0,3.0,1,0.0
25-34,Male,2,1,Yes,2,0.0,1.0,3.0,3.0,1,0.5
18-24,Female,3,4,Yes,2,1.0,0.0,2.0,2.0,1,1.0
